Dimension;Density;Algorithm;Num_Robots;Time;Overlapping
10;5;MSTC*;2;429,6708513561277;0,05249343832020997
10;5;TMSTC*;2;434,1414141046049;0,05774278215223097
10;5;MSTC*;4;246,09942278469902;0,1732283464566929
10;5;TMSTC*;4;255,14069258547852;0,18635170603674542
10;5;MSTC*;2;443,9271283903193;0,06561679790026247
10;5;TMSTC*;2;438,2128426760336;0,07349081364829396
10;5;MSTC*;4;255,55526690741468;0,1784776902887139
10;5;TMSTC*;4;251,72539674441612;0,16535433070866143
10;5;MSTC*;2;443,184848462763;0,06561679790026247
10;5;TMSTC*;2;438,4992784808738;0,06824146981627296
10;5;MSTC*;4;250,48528137423855;0,1732283464566929
10;5;TMSTC*;4;265,67012983700135;0,16272965879265092
10;5;MSTC*;2;457,75483399593907;0,09711286089238845
10;5;TMSTC*;2;439,91313128368387;0,07611548556430446
10;5;MSTC*;4;252,9985569617476;0,1784776902887139
10;5;TMSTC*;4;265,05526690741476;0,23622047244094488
10;5;MSTC*;2;429,6708513561277;0,05249343832020997
10;5;TMSTC*;2;438,27099565995286;0,07874015748031496
10;5;MSTC*;4;252,8844155512871;0,18635170603674542
10;5;TMSTC*;4;269,0419913199057;0,26246719160104987
10;5;MSTC*;2;444,3417027122554;0,07874015748031496
10;5;TMSTC*;2;441,81370849898485;0,08923884514435695
10;5;MSTC*;4;239,2275613017947;0,14173228346456693
10;5;TMSTC*;4;247,64213562373092;0,1889763779527559
10;5;MSTC*;2;430,91385280281;0,05249343832020997
10;5;TMSTC*;2;425,0132755875091;0,03674540682414698
10;5;MSTC*;4;257,31370849898474;0,2047244094488189
10;5;TMSTC*;4;253,52727269414427;0,1942257217847769
10;5;MSTC*;2;446,3417027122554;0,08398950131233596
10;5;TMSTC*;2;439,3564213380167;0,08661417322834646
10;5;MSTC*;4;249,38513707041332;0,15485564304461943
10;5;TMSTC*;4;262,14069258547846;0,22572178477690288
10;5;MSTC*;2;438,51255406838305;0,06824146981627296
10;5;TMSTC*;2;445,56998553317624;0,08661417322834646
10;5;MSTC*;4;248,61269837220806;0,17060367454068243
10;5;TMSTC*;4;269,64213562373095;0,1889763779527559
10;5;MSTC*;2;446,56998553317624;0,07611548556430446
10;5;TMSTC*;2;437,28499276658823;0,07349081364829396
10;5;MSTC*;4;259,0699855331762;0,1837270341207349
10;5;TMSTC*;4;265,5832611206852;0,26246719160104987
10;5;MSTC*;2;449,4271283903191;0,08398950131233596
10;5;TMSTC*;2;426,642135623731;0,04461942257217848
10;5;MSTC*;4;257,3696969255257;0,1889763779527559
10;5;TMSTC*;4;248,79826835409713;0,14435695538057744
10;5;MSTC*;2;454,56998553317624;0,08398950131233596
10;5;TMSTC*;2;433,69956708852436;0,07086614173228346
10;5;MSTC*;4;249,0412698007795;0,13910761154855644
10;5;TMSTC*;4;266,3402596740029;0,24934383202099739
